Usuario,Partido,Predicción,Resultado Real,Puntos
Adrián,Atlante vs Toluca,1-3,0-0,0
Adrián,Atlas vs Tigres,2-1,2-1,2
Adrián,América vs San Luis,2-1,3-0,1
Adrián,Tijuana vs Cruz Azul,2-1,2-1,2
Adrián,Necaxa vs León,1-2,1-2,2
Adrián,Pachuca vs Puebla,2-1,2-3,0
Adrián,Pumas vs Querétaro,2-2,0-0,1
Adrián,Santos vs Guadalajara,1-1,0-1,0
Aldo,Atlante vs Toluca,1-2,0-0,0
Aldo,Atlas vs Tigres,1-1,2-1,0
Aldo,América vs San Luis,2-1,3-0,1
Aldo,Tijuana vs Cruz Azul,1-2,2-1,0
Aldo,Monterrey vs Juárez,2-1,6-1,1
Aldo,Necaxa vs León,2-1,1-2,0
Aldo,Pachuca vs Puebla,2-1,2-3,0
Aldo,Pumas vs Querétaro,2-1,0-0,0
Aldo,Santos vs Guadalajara,1-2,0-1,1
Alex villa,Atlante vs Toluca,2-3,0-0,0
Alex villa,Atlas vs Tigres,2-2,2-1,0
Alex villa,América vs San Luis,3-1,3-0,1
Alex villa,Tijuana vs Cruz Azul,2-3,2-1,0
Alex villa,Monterrey vs Juárez,3-1,6-1,1
Alex villa,Necaxa vs León,2-3,1-2,1
Alex villa,Pachuca vs Puebla,2-1,2-3,0
Alex villa,Pumas vs Querétaro,3-2,0-0,0
Alex villa,Santos vs Guadalajara,2-3,0-1,1
Andrey,Atlante vs Toluca,1-2,0-0,0
Andrey,Atlas vs Tigres,1-2,2-1,0
Andrey,América vs San Luis,2-2,3-0,0
Andrey,Tijuana vs Cruz Azul,1-2,2-1,0
Andrey,Monterrey vs Juárez,2-1,6-1,1
Andrey,Necaxa vs León,1-1,1-2,0
Andrey,Pachuca vs Puebla,2-0,2-3,0
Andrey,Pumas vs Querétaro,2-0,0-0,0
Andrey,Santos vs Guadalajara,1-2,0-1,1
Arturo,Atlante vs Toluca,2-2,0-0,1
Arturo,Atlas vs Tigres,2-1,2-1,2
Arturo,América vs San Luis,3-0,3-0,2
Arturo,Tijuana vs Cruz Azul,2-2,2-1,0
Arturo,Monterrey vs Juárez,3-1,6-1,1
Arturo,Necaxa vs León,1-2,1-2,2
Arturo,Pachuca vs Puebla,2-0,2-3,0
Arturo,Pumas vs Querétaro,1-0,0-0,0
Arturo,Santos vs Guadalajara,1-1,0-1,0
Bryan 2,Atlante vs Toluca,1-2,0-0,0
Bryan 2,Atlas vs Tigres,1-1,2-1,0
Bryan 2,América vs San Luis,1-0,3-0,1
Bryan 2,Tijuana vs Cruz Azul,1-2,2-1,0
Bryan 2,Monterrey vs Juárez,2-0,6-1,1
Bryan 2,Necaxa vs León,1-1,1-2,0
Bryan 2,Pachuca vs Puebla,1-0,2-3,0
Bryan 2,Pumas vs Querétaro,2-1,0-0,0
Bryan 2,Santos vs Guadalajara,0-1,0-1,2
Bryan Montiel,Atlante vs Toluca,1-1,0-0,1
Bryan Montiel,Atlas vs Tigres,0-1,2-1,0
Bryan Montiel,América vs San Luis,2-1,3-0,1
Bryan Montiel,Tijuana vs Cruz Azul,1-1,2-1,0
Bryan Montiel,Monterrey vs Juárez,2-0,6-1,1
Bryan Montiel,Necaxa vs León,0-1,1-2,1
Bryan Montiel,Pachuca vs Puebla,2-0,2-3,0
Bryan Montiel,Pumas vs Querétaro,2-0,0-0,0
Bryan Montiel,Santos vs Guadalajara,1-2,0-1,1
Claudio,Atlante vs Toluca,1-2,0-0,0
Claudio,Atlas vs Tigres,1-1,2-1,0
Claudio,América vs San Luis,2-0,3-0,1
Claudio,Tijuana vs Cruz Azul,1-1,2-1,0
Claudio,Monterrey vs Juárez,1-1,6-1,0
Claudio,Necaxa vs León,1-1,1-2,0
Claudio,Pachuca vs Puebla,2-0,2-3,0
Claudio,Pumas vs Querétaro,1-0,0-0,0
Claudio,Santos vs Guadalajara,0-1,0-1,2
