Usuario,Partido,Predicción,Resultado Real,Puntos
Adrián,Argentina vs Austria,3-1,2-0,1
Adrián,Bélgica vs Irán,3-0,0-0,0
Adrián,Brasil vs Haití,3-0,3-0,2
Adrián,Canadá vs Catar,2-1,6-0,1
Adrián,Colombia vs RD Congo,3-1,1-0,1
Adrián,República Checa vs Sudáfrica,2-0,1-1,0
Adrián,Ecuador vs Curazao,2-0,0-0,0
Adrián,Inglaterra vs Ghana,3-1,0-0,0
Adrián,Francia vs Irak,2-0,3-0,1
Adrián,Alemania vs Costa de Marfil,3-1,2-1,1
Adrián,Jordania vs Argelia,1-2,1-2,2
Adrián,México vs Corea del Sur,2-1,1-0,1
Adrián,Países Bajos vs Suecia,3-2,5-1,1
Adrián,Nueva Zelanda vs Egipto,1-1,1-3,0
Adrián,Noruega vs Senegal,2-1,3-2,1
Adrián,Panamá vs Croacia,0-2,0-1,1
Adrián,Portugal vs Uzbekistán,3-1,5-0,1
Adrián,Escocia vs Marruecos,0-2,0-1,1
Adrián,España vs Arabia Saudita,2-1,4-0,1
Adrián,Suiza vs Bosnia y Herzegovina,2-2,4-1,0
Adrián,Túnez vs Japón,1-2,0-4,1
Adrián,Turquía vs Paraguay,2-1,0-1,0
Adrián,Uruguay vs Cabo Verde,3-0,2-2,0
Adrián,Estados Unidos vs Australia,2-0,2-0,2
Aldo,Argentina vs Austria,2-1,2-0,1
Aldo,Bélgica vs Irán,2-1,0-0,0
Aldo,Brasil vs Haití,3-1,3-0,1
Aldo,Canadá vs Catar,2-1,6-0,1
Aldo,Colombia vs RD Congo,2-1,1-0,1
Aldo,República Checa vs Sudáfrica,2-0,1-1,0
Aldo,Ecuador vs Curazao,3-0,0-0,0
Aldo,Inglaterra vs Ghana,3-0,0-0,0
Aldo,Francia vs Irak,3-0,3-0,2
Aldo,Alemania vs Costa de Marfil,2-1,2-1,2
Aldo,Jordania vs Argelia,0-2,1-2,1
Aldo,México vs Corea del Sur,2-1,1-0,1
Aldo,Países Bajos vs Suecia,2-1,5-1,1
Aldo,Nueva Zelanda vs Egipto,1-2,1-3,1
Aldo,Noruega vs Senegal,2-1,3-2,1
Aldo,Panamá vs Croacia,0-2,0-1,1
Aldo,Portugal vs Uzbekistán,3-0,5-0,1
Aldo,Escocia vs Marruecos,0-1,0-1,2
Aldo,España vs Arabia Saudita,3-0,4-0,1
Aldo,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Aldo,Túnez vs Japón,1-2,0-4,1
Aldo,Turquía vs Paraguay,1-1,0-1,0
Aldo,Uruguay vs Cabo Verde,2-0,2-2,0
Aldo,Estados Unidos vs Australia,1-0,2-0,1
Alex villa,Argentina vs Austria,2-1,2-0,1
Alex villa,Bélgica vs Irán,2-1,0-0,0
Alex villa,Brasil vs Haití,3-1,3-0,1
Alex villa,Canadá vs Catar,2-2,6-0,0
Alex villa,Colombia vs RD Congo,3-0,1-0,1
Alex villa,República Checa vs Sudáfrica,2-1,1-1,0
Alex villa,Ecuador vs Curazao,3-1,0-0,0
Alex villa,Inglaterra vs Ghana,2-1,0-0,0
Alex villa,Francia vs Irak,3-1,3-0,1
Alex villa,Alemania vs Costa de Marfil,3-2,2-1,1
Alex villa,Jordania vs Argelia,1-3,1-2,1
Alex villa,México vs Corea del Sur,2-2,1-0,0
Alex villa,Países Bajos vs Suecia,1-1,5-1,0
Alex villa,Nueva Zelanda vs Egipto,2-2,1-3,0
Alex villa,Noruega vs Senegal,2-1,3-2,1
Alex villa,Panamá vs Croacia,1-3,0-1,1
Alex villa,Portugal vs Uzbekistán,4-0,5-0,1
Alex villa,Escocia vs Marruecos,1-3,0-1,1
Alex villa,España vs Arabia Saudita,3-2,4-0,1
Alex villa,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Alex villa,Túnez vs Japón,1-2,0-4,1
Alex villa,Turquía vs Paraguay,2-2,0-1,0
Alex villa,Uruguay vs Cabo Verde,4-2,2-2,0
Alex villa,Estados Unidos vs Australia,3-2,2-0,1
Andrés Román,Argentina vs Austria,2-0,2-0,2
Andrés Román,Bélgica vs Irán,3-0,0-0,0
Andrés Román,Brasil vs Haití,4-0,3-0,1
Andrés Román,Canadá vs Catar,2-0,6-0,1
Andrés Román,Colombia vs RD Congo,2-1,1-0,1
