Usuario,Partido,Predicción,Resultado Real,Puntos
Adrián,Argentina vs Egipto,2-1,Pendiente,-
Adrián,Brasil vs Noruega,2-2,Pendiente,-
Adrián,Canadá vs Marruecos,1-2,0-3,1
Adrián,México vs Inglaterra,2-1,Pendiente,-
Adrián,Paraguay vs Francia,1-3,0-1,1
Adrián,Portugal vs España,1-1,Pendiente,-
Adrián,Suiza vs Colombia,1-1,Pendiente,-
Adrián,Estados Unidos vs Bélgica,2-2,Pendiente,-
Aldo,Argentina vs Egipto,2-0,Pendiente,-
Aldo,Brasil vs Noruega,2-1,Pendiente,-
Aldo,Canadá vs Marruecos,0-2,0-3,1
Aldo,México vs Inglaterra,1-1,Pendiente,-
Aldo,Paraguay vs Francia,0-2,0-1,1
Aldo,Portugal vs España,0-1,Pendiente,-
Aldo,Suiza vs Colombia,1-1,Pendiente,-
Aldo,Estados Unidos vs Bélgica,1-1,Pendiente,-
Alex villa,Argentina vs Egipto,2-1,Pendiente,-
Alex villa,Brasil vs Noruega,1-1,Pendiente,-
Alex villa,Canadá vs Marruecos,1-2,0-3,1
Alex villa,México vs Inglaterra,2-1,Pendiente,-
Alex villa,Paraguay vs Francia,1-4,0-1,1
Alex villa,Portugal vs España,1-1,Pendiente,-
Alex villa,Suiza vs Colombia,1-1,Pendiente,-
Alex villa,Estados Unidos vs Bélgica,1-1,Pendiente,-
Andrés Román,Argentina vs Egipto,1-1,Pendiente,-
Andrés Román,Brasil vs Noruega,2-2,Pendiente,-
Andrés Román,Canadá vs Marruecos,1-2,0-3,1
Andrés Román,México vs Inglaterra,1-2,Pendiente,-
Andrés Román,Paraguay vs Francia,0-2,0-1,1
Andrés Román,Portugal vs España,1-2,Pendiente,-
Andrés Román,Suiza vs Colombia,1-2,Pendiente,-
Andrés Román,Estados Unidos vs Bélgica,1-1,Pendiente,-
Arnoldo Barba,Argentina vs Egipto,2-1,Pendiente,-
Arnoldo Barba,Brasil vs Noruega,1-2,Pendiente,-
Arnoldo Barba,Canadá vs Marruecos,1-2,0-3,1
Arnoldo Barba,México vs Inglaterra,2-1,Pendiente,-
Arnoldo Barba,Paraguay vs Francia,1-2,0-1,1
Arnoldo Barba,Portugal vs España,2-1,Pendiente,-
Arnoldo Barba,Suiza vs Colombia,1-3,Pendiente,-
Arnoldo Barba,Estados Unidos vs Bélgica,2-1,Pendiente,-
Arturo,Argentina vs Egipto,2-1,Pendiente,-
Arturo,Brasil vs Noruega,2-1,Pendiente,-
Arturo,Canadá vs Marruecos,2-1,0-3,0
Arturo,México vs Inglaterra,2-0,Pendiente,-
Arturo,Paraguay vs Francia,0-2,0-1,1
Arturo,Portugal vs España,2-2,Pendiente,-
Arturo,Suiza vs Colombia,1-2,Pendiente,-
Arturo,Estados Unidos vs Bélgica,2-1,Pendiente,-
Bryan 2,Argentina vs Egipto,2-0,Pendiente,-
Bryan 2,Brasil vs Noruega,2-0,Pendiente,-
Bryan 2,Canadá vs Marruecos,0-2,0-3,1
Bryan 2,México vs Inglaterra,1-1,Pendiente,-
Bryan 2,Paraguay vs Francia,1-3,0-1,1
Bryan 2,Portugal vs España,1-3,Pendiente,-
Bryan 2,Suiza vs Colombia,0-1,Pendiente,-
Bryan 2,Estados Unidos vs Bélgica,2-0,Pendiente,-
Bryan Montiel,Argentina vs Egipto,2-0,Pendiente,-
Bryan Montiel,Brasil vs Noruega,2-1,Pendiente,-
Bryan Montiel,Canadá vs Marruecos,0-2,0-3,1
Bryan Montiel,México vs Inglaterra,1-0,Pendiente,-
Bryan Montiel,Paraguay vs Francia,0-3,0-1,1
Bryan Montiel,Portugal vs España,1-2,Pendiente,-
